date;time;ID;X;Y
03/12/2021;21:05;2012-87761;178.442;-54.186
03/12/2021;21:53;2012-87761;178.511;-54.23
05/12/2021;01:17;2012-87761;179.364;-54.31
05/12/2021;03:02;2012-87761;179.513;-54.443
05/12/2021;03:38;2012-87761;179.489;-54.448
05/12/2021;07:59;2012-87761;179.712;-54.44
05/12/2021;08:16;2012-87761;179.66;-54.451
05/12/2021;08:53;2012-87761;179.653;-54.481
05/12/2021;09:33;2012-87761;179.687;-54.474
05/12/2021;09:59;2012-87761;179.715;-54.465
05/12/2021;13:27;2012-87761;179.709;-54.479
05/12/2021;14:36;2012-87761;179.763;-54.501
05/12/2021;14:58;2012-87761;179.831;-54.501
05/12/2021;15:06;2012-87761;179.751;-54.474
05/12/2021;19:23;2012-87761;179.851;-54.428
05/12/2021;19:47;2012-87761;179.853;-54.425
05/12/2021;20:25;2012-87761;179.945;-54.437
05/12/2021;22:03;2012-87761;179.962;-54.418
07/12/2021;02:41;2012-87761;-179.136;-54.706
07/12/2021;03:11;2012-87761;-179.132;-54.693
07/12/2021;07:08;2012-87761;-178.998;-54.774
07/12/2021;07:42;2012-87761;-178.914;-54.735
07/12/2021;07:49;2012-87761;-178.982;-54.776
07/12/2021;08:12;2012-87761;-178.974;-54.778
07/12/2021;08:49;2012-87761;-178.885;-54.782
07/12/2021;09:12;2012-87761;-178.865;-54.77
